company,title,location,description,technologies,salary,english,years_of_experience,employment_type,views,appliances
Ajax Systems,Junior Python Developer in Test (Apps),Україна(Київ),"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше 50 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.<br><br>Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас три R&D-офіси: у Києві, Харкові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР.<br><br>Датчики Ajax охороняють більше 1 000 000 користувачів у більш ніж 130 країнах світу. За розробку пристроїв у Ajax відповідає R&D-департамент, який складається з чотирьох команд: System, Devices, Automation та QA.<br><br>Ajax - це екосистема, робота якої неможлива без якісних і зручних у користуванні застосунків. За роботу цієї частини світу Ajax відповідають мануальні тестувальники та команда автоматизації. В їх розпорядженні тільки що розроблений фреймворк, що дозволяє відтворити будь-яку ситуацію, уявну нашим QA. Тестування відбувається на платформах IOS/AOS за допомогою Appium.<br><br>Чим технічно цікава вакансія<br><br>Проект активно розвивається, тому ви можете вплинути на його результат на старті. Сьогодні вже розроблена база, якої достатньо для написання основних тестів, але є велика зона неохоплених кейсів, для автоматизації яких треба розробляти новий функціонал фреймворку.<br><br><br>Які стоять задачі:<br>- розробка та впровадження автоматизованого тестування функціональності Ajax Apps за допомогою Python;<br>- робота з інфраструктурою CI на базі Jenkins;<br>- робота з низькорівневими бінарними протоколами;<br>- пошук та аналіз невідповідностей поведінки системи згідно з технічним завданням;<br>- cкладання баг-репорту та ведення життєвого циклу бага;<br><br>Що шукаємо у кандидаті:<br>- технічний бекграунд;<br>- знання Python;<br>- досвід роботи з Appium/Selenium;<br>- досвід роботи з GIT;<br>- базові знання UNIX/Linux OS;<br>- розуміння складної серверної архітектури;<br>- знання ООП;<br><br>Буде плюсом:<br>- досвід роботи з pytest;<br>- досвід роботи з gRPC;<br>- досвід роботи з протоколами TCP рівня;<br><br>Ми пропонуємо:<br>- Cвободу приймати рішення та втілювати ідеї<br>- Можливість впливати на продукт і виробництво замість монотонного закриття задач<br>- Роботу у вмотивованій команді та zero bullshit culture<br>- Турботу та медичне страхування<br>- Долучайтеся, щоб зробити Made in Ukraine синонімом надійності.<br><br>Ajax — свобода бути інженером!","['Selenium', 'Python', 'Automation', 'Git', 'Pytest', 'Jenkins']",,,0,Тільки офіс,10,0
Energise,Junior/Middle Python Developer,Україна,"Привіт 🇺🇦<br><br>Ми продуктова IT команда <b>Energise.pro</b>. Ми проектуємо, розробляємо і рекламуємо мобільні додатки у різноманітних нішах. Усі процеси інхаус. Ми не аутсорс компанія!<br><br>За останні 3 роки ми випустили в реліз понад 20 мобільних застосунків у нішах утиліт, здоров'я, розваг, фото і відео редагування… Протестували багато гіпотез; досягли багато успіхів; зробили багато помилок, усвідомили і не повторюємо їх. Наразі у нас багато досвіду і ми постійно знаходимо та реалізовуємо багато додатків та ідей. Ми постійно працюємо над оптимізацією наших додатків і запускаємо нові та займаємось їх маркетингом<br><br>Основна мета -розвинути кілька справді крутих продуктів, щоб вони стали відомими в усьому світі, тому ми перебираємо якомога більше ніш, тестуємо і релізимо багато ідей. Ми точно знаємо що досягнемо нашої мети<br><br>Ми регулярно досліджуємо ринок і шукаємо нові ніші, тож будь-який член команди має змогу запропонувати свої ідеї як щодо реалізації будь-якої функції в наявному продукті, так і ініціювати створення абсолютно нового застосунку з нуля<br><br>Наші продукти вже використовуються мільйонами людей по всьому світу<br><br>Ми маємо бажання розвиватися надалі і це найголовніше!! Наша ціль - зібрати круту команду, нарощувати досвід та робити дійсно потрібні користувачам продукти<br><br>💡 Ми шукаємо в команду <b>Python розробника</b>, який допоможе нам робити круті продукти!!! На даний момент розглядаємо на <b>part time</b> умовах з подальшим переходом на full time <br><br>Якщо ти впевнений джун, але відповідаєш всім вимогам - ми з радістю розглянемо твою кандидатуру<br><br>👩‍💻 🧑‍💻 <b>Що треба буде робити</b> :<br><br>- створення та підтримка backend під мобільні додатки<br>- розробка нових сервісів на основі Python<br>- підтримання існуючих сервісів на Python<br>- ресерч та імплементація нових бібліотек<br><br>✅ <b>Якими технічними навичками маєш вже володіти</b>:<br>- Досвід програмуванням на Python 3;<br>- Знання SQL: MySQL, PostgreSQL;<br>- Досвід використання систем контролю версій Git, CI/CD;<br>- Розуміння API (WebSocket, REST);<br>- Досвід роботи з вже існуючим кодом, навички рефакторингу та оптимізації;<br>- Досвід з DevOps-інструментами та практиками;<br>- вміння розбирати нові бібліотеки;<br>- розуміння ШІ та нейромережі.<br><br>‼️ <b>Обов`язково</b>:<br><br>- Мати інтерес до розробки мобільних продуктів!!!<br>- Мати здатність швидко вчитися;<br>- Рівень знання англійської мови — не нижче Intermediate;<br>- Вміння взаємодіяти та працювати в команді, комунікативність;<br>- Нести відповідальність за свої проекти та написаний код;<br>- Уважність до деталей;<br>- Бажання працювати та розвиватись<br><br>➕ <b>Плюсом буде</b><br><br>- досвід в комерційному проекті або є якесь портфоліо<br>- у тебе є результати у роботі якими ти пишаєшся та можеш показати<br>- ти ведеш свій репозиторій, в якому є чим похвалитись і подивитись<br><br>💪 <b>Особисті якості</b>:<br><br>- Відмінні комунікативні навички;<br>- наполегливість;<br>- мультизадачність та гнучкість до змін;<br>- відповідальність за результат;<br>- креативність;<br>- стратегічне мислення;<br>- тайм менеджемнт;<br>- вміння мислити поза рамками стандартів (think out of the box)<br><br>👫 <b>Ми будуємо справжню дружню команду та цінуємо</b>:<br><br>- <b>Комунікабельність</b><br>Регулярне спілкування з робочою групою щодо поточних проєктів у письмовому (чати, таск менеджери) та усному форматах (Зум-колли). Відкритість для спілкування. Уміння чітко і лаконічно формулювати завдання<br><br>- <b>Орієнтація на результати</b><br>Готовність привести свої завдання у відповідність до глобальних цілей команди та компанії, реалізувати необхідні зміни<br><br>- <b>Відповідальність</b><br>Увага до деталей, автономія, готовність брати на себе зобов'язання і дотримуватися угоди<br><br>- <b>Проактивність</b><br>Здатність ставити цілі та досягати їх. Створення можливостей, не чекаючи їх появи<br><br>- <b>Орієнтація на розвиток і самонавчання</b><br>інтерес до нових технологій. Постійне бажання вчитися і розвивати свої навички, набувати нового досвіду<br><br>☂️ <b>Що отримаєш і що ми пропонуємо</b><br><br>- можливість впливати на продукт та стояти біля його витоків;<br>- віддалену роботу;<br>- гнучкий графік роботи;<br>- сильна команда, учасники якої обмінюються знаннями та підтримують один одного<br><br>З більшою ймовірністю звернемо увагу на заявки з супровідним листом<br><br>Виконання тестового завдання після першого етапу відбору ОБОВʼЯЗКОВЕ. Випробувальний термін складає три місяці<br><br>У нас працювати складно, але цікаво!","['SQL', 'Python', 'Git', 'PostgreSQL', 'MySQL', 'DevOps', 'WebSocket']",,Intermediate,0,Тільки віддалено,134,56
MB Digital,Strong Junior Python Developer,Україна(Львів),"MB Digital is an innovative software development firm with a sharp focus on crafting sophisticated Web and App solutions, alongside providing comprehensive staff augmentation services.<br><br>Established in 2017 by an American entrepreneur, our company has been at the forefront of developing intricate web and app projects tailored to meet the exacting needs of our clientele, predominantly from the United States.<br><br>Our working conditions:<br><br>Fixed payment in $.<br>Vacation - 18 working days per year, 10 Sick Days.<br>Systematic salary review 2 times a year.<br>50% coverage of English language courses.<br>For those who live in Lviv, there is an opportunity to visit the office or you can work remotely and plan your working hours independently.<br><br>And now we have an opening for a Strong Junior Python Developer position in our company.<br><br>What our ideal candidate is responsible for:<br><br>Development and optimization of web application backend in Python/Django.<br>Creating a REST API in Python using Django.<br>Integration with databases (PostgreSQL, MongoDB, etc.).<br>Writing Unit tests and integration tests.<br>Participation in code review and optimization of existing code.<br>Adherence to the principles of clean code and design patterns.<br>Debugging and profiling programs to optimize performance.<br>Documentation of code and APIs.<br>Collaboration with front-end developers on integration.<br>Researching and implementing new technologies and libraries.<br>Adherence to version control processes (Git).<br>Completing tasks in accordance with requirements and deadlines.<br><br>What experience and skills we expect:<br><br>At least 1.5 years of experience with Python and Django.<br>Experience with REST APIs, understanding of HTTP principles.<br>Experience in integration with relational (SQLite, PostgreSQL, etc.) and non-relational (MongoDB, Redis, etc.) databases.<br>Ability to write unit tests, understanding of TDD concept.<br>Use of the Git version control system.<br>Knowledge of object-oriented programming, data structures and algorithms.<br>Analytical thinking, debugging and code profiling skills.<br>Good level of English (reading technical documentation).<br>Ability to work in a team, take responsibility for your part of the project.<br>The desire to write clean, readable, optimized code.","['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'SQL', 'Code Review', 'SQLite', 'Python', 'Git', 'PostgreSQL', 'Lean']",,Intermediate,1,Office або Remote,128,65
Cosmonova Broadcast,Junior Python Developer,Україна(Київ),"Cosmonova Broadcast - це IT і High Tech для медіа бізнесу. Компанія має доступ до найсильнішої експертизі завдяки своїй команді R & D і IT професіоналів з більш ніж 16-ти річним досвідом. У центрі експертизи та R & D використовуються найсучасніші технології та обладнання, постійно вивчаються і впроваджуються нові рішення, проводяться тести нових протоколів і стандартів, апаратних, програмно-апаратних та інфраструктурних сервісів для різних завдань, в тому числі під великим навантаженням.<br><br><b>Розшукуємо Junior Python Developer!</b><br><br><b>Що потрібно буде робити?</b><br><br>Розробка проекту компанії, пов’язаного з мультимедіа;<br>Швидке і якісне вирішення поставлених завдань, пов’язаних з інтернет-технологіями;<br><br><b>Що ми очікуємо від нашого кандидата?</b><br><br>Досвід роботи з Python від 1 року;<br>Знання SQL: MySQL, PostgreSQL<br>Досвід використання систем контролю версій Git, CI/CD;<br>Розуміння API (WebSocket, REST);<br>Досвід роботи з односторінковими додатками і концепції архітектури мікросервісів;<br><br><b>Пропонуємо:</b><br><br>Комфортний офіс в сучасному БЦ Протасов;<br>П’ятиденний робочий тиждень, гнучкий графік роботи;<br>Оплачувані 24 дня відпустки;<br>Конкурентна зарплата;<br>Корпоративна знижка в Sport Life;<br>Sweet / Fruit Fridays;<br>Офіційне оформлення;<br>Всі можливості для розвитку і зростання;<br>Цікава робота в команді.<br><br>До зустрічі в нашій дружній команді СosmonovaBroadcast :)<br><br>На даний момент, джунів без комерційного досвіду не розглядаємо, на даній позиції необхідний обовязковий досвід від 1 року.","['SQL', 'Python', 'Git', 'PostgreSQL', 'MySQL', 'WebSocket']",,Pre-Intermediate,1,Гібридна робота,333,79
PLVision,Junior Python Verification Engineer,"Україна(Київ, Львів, Одеса)","We invite a skilled Firmware Python Verification Engineer with up to 2 years of experience in Quality Assurance and Python programming language to join PLVision. In this role, you will ensure the quality and reliability of our customers' products. You will work closely with hardware engineers to ensure seamless integration between firmware and networking equipment.<br><br>At PLVision, we offer numerous opportunities to secure your career development while working in a thriving Ukrainian company with an in-demand specialization. We work with the latest technologies and contribute to open source, collaborating with professionals from Microsoft, Intel, Cisco, NVIDIA, Meta and more. If you are seeking a long-term project in a future-proof technology domain, apply for this vacancy and become part of our expert team.<br><br>About PLVision  <br><br>We are a software product development company specializing in computer networking and embedded systems. PLVision has offices in Krakow, Poland, and in Ukraine: Lviv, Odesa, Kyiv, and Kharkiv (currently relocated). Founded in 2007, the company helps networking industry leaders and ambitious startups in the U.S., Israel, and the EU countries to launch innovative products.<br><br>Vacancy responsibilities:<br>- Develop networking test cases for new and existing products with an emphasis on emulating customer environments<br>- Perform research and analysis to implement the best solutions<br>- Cooperate with internal teams (e.g., developers and product managers) to identify system requirements<br>- Be a strong advocate for software quality<br><br>Vacancy requirements:<br>· Bachelor's degree in Computer Science or Software/Computer/Communications Engineering<br>· Up to 2 years of experience in Python<br>· Strong understanding of OOAD (Object-Oriented Analysis and Design)<br>· Strong analytical, debugging and problem-solving skills<br>· Good verbal and written communication skills<br>· Knowledge of technical English at the Intermediate level and higher is a must<br><br>Vacancy plus options:<br>- Basic knowledge of network communication protocols<br>- Knowledge of CI (Continuous Integration) methodology and tools (e.g., Gerrit, Jenkins)<br>- Work experience in an Agile/Scrum environment<br>- Experience with Linux at the user level<br>- Experience in software testing and test automation","['Python', 'Automation', 'Scrum', 'Jenkins', 'Agile']",,Intermediate,3,Office або Remote,59,7
Profisea,Python Developer (Junior),Україна,"We`re looking for our team Profisea Labs Junior Python Developer! <br><br><b>Profisea Labs</b>, an innovative cloud management platform, is capable of handling all the most painful points felt by CloudOps engineers and IT managers who face increasing pressure to cut down IT costs, but only in a way that doesn't do any damage to business value. Profisea Labs is a new generation AI-Based multi-cloud management platform that helps users visualize cloud assets, maximize cloud utilization, reduce waste, and lower cloud spending pursuing business goals.<br><br><b> Requirements:</b><br>- Familiarity with Python<br>- Good English<br>- Desire to learn something new and useful. <br>- BS in computer science.  <br><br><b>Your Responsibilities: </b><br>- Develop solutions according to technical and business requirements <br>- Design new functionality <br>- Be a part of international team of experts with a warm and friendly atmosphere <br>- All we need from you is your desire to do great things!   <br><br><b>What we Offer:</b><br>- Great Salary <br>- Flexible work hours <br>- Career growth <br>- Medical insurance <br>- Sport compensations <br>- Professional working environment, where you’d be an essential member of our company",['Python'],,Upper-Intermediate,0,Тільки віддалено,697,255
GT-Protocol,Junior Python Developer,Україна(Одеса),"Are you a skilled Junior Python Developer eager to contribute to the development of an AI-powered automated trading platform? We're waiting for you to join our Development Team!<br><br>Responsibilities and duties<br><br>- Participate in the design, development, and maintenance of a sophisticated AI-powered trading platform using Python, Flask, and related technologies<br>- Actively participate in a remote development team environment, reporting to the Project Manager and collaborating effectively with team members<br>- Continuously seek innovative solutions and improvements to enhance the platform's capabilities and user experience in a rapidly changing crypto market<br><br>Work experience<br> <br>- 1+ years of proven experience in Python Development<br>- Bachelor’s degree <br><br>Required skills<br><br>- Proficiency in Python<br>- Flask, Celery, Pytest expertise<br>- SQL (Postgres), NoSQL (Redis) knowledge<br>- Bash, Docker experience<br><br>Will be a plus<br><br>- English – B2 <br>- Personal Projects<br>- Experience in Web 3, trading or machine learning <br><br>If you are an individual with strong attention to details, and you have a passion for Python, and if you meet these requirements and responsibilities, we encourage you to apply for the Junior Python Developer position. If you’re still reading this, then we’re waiting for your CV, portfolio and cover letter.","['Flask', 'Celery', 'Machine Learning', 'SQL', 'Docker', 'Python', 'Pytest', 'NoSQL']",,Upper-Intermediate,1,Office або Remote,739,230
UAI Labs,Junior RPA developer,Україна,"RPA Developer(UiPath) at UAI Labs <br> <br>The  RPA Developer (UiPath) is responsible for designing, developing, and implementing automation solutions using the UiPath platform. The successful candidate will be a member of our team and will work closely with other developers, stakeholders, and users to deliver high-quality automation solutions that meet the needs of the business. <br> <br><br><b>Qualifications:</b><br>- Bachelor’s degree or student in computer science or a related field <br>- Experience in programming in one of the following languages C, C++, <br>   C#, Java, Python, VB.Net, VBA,  JavaScript <br>- Speak & write English (Intermediate and above) <br>- Great problem-solving and analytical skills <br>- Excellent communication and interpersonal skills <br>- Have willing to learn new technologies <br>- Willing to work in an open-minded atmosphere <br><br><b>Would be a plus:</b><br>-  Experience with a variety of RPA tools and technologies <br><br> <br><b>Responsibilities:</b><br>- Design, develop, and implement automation solutions using UiPath <br>    platform <br>- Work with stakeholders to gather requirements and design solutions <br>- Develop and maintain UiPath bots and scripts <br>- Troubleshoot and resolve automation issues <br>- Stay up-to-date on the latest UiPath technologies and trends <br><br><br><b>We offer:</b><br>- Remote working format <br>- A competitive compensation package <br>- Personalized career growth <br>- Professional development tools (mentorship program, tech talks and <br>   trainings, centers of excellence, and more) <br>- Friendly and professional team <br>- Paid vacation days, sick leaves, and days off <br>- Accounting service","['Python', 'Automation']",,Pre-Intermediate,0,Тільки віддалено,770,191
Python Automation Masters,Strong Junior Python Developer (scraping),Україна,"<b>Про нас:</b><br>Невелика команда, що займається написанням ефективних скриптів для web на Python 3.x. Серед рішень є такі, що обробляють близько 800 000 запитів кожні 10 годин використовуючи Python 3, mysql, Redis, із невеликою кількістью ресурсів. <br>Запрошуємо до співпраці <b>Strong Junior Python Developer</b> для розширення команди.<br><br><b>Технології, що використовуються на проектах:</b><br>- Python 3.x<br>- DB: mysql, Postgres, Redis<br>- OS: Linux (Ubuntu, CentOS)<br>- Deployment: hosts in cloud (e.g. Digital Ocean)<br><br><b>Умови праці:</b><br>- віддалена робота<br>- Part time / full time<br>- комунікація через telegram/skype/zoom<br><br><b>Задачі:</b><br>- написання скриптів на Python відповідно до вимог<br>- комунікація по статусах<br>- участь у прорахунках проектів (в подальшому - прорахунка проектів)<br><br><b>Вимоги:</b><br>- практичний досвід від 1 року роботи із Python 3.x. <br>- досвід у сфері scraping<br>- вміння зробити естімейт на задачу.<br><br><b>Буде плюсом:</b><br>- досвід роботи з GPT3<br>- DataScince/ML<br>- розмовна англійська.<br><br>У відгуку на вакансію <b>надсилайте, будь ласка, посилання на git</b> із прикладами робіт.","['SQL', 'Python', 'Git', 'MySQL']",,Intermediate,1,Тільки віддалено,332,118
Devsteam.cloud,Junior Backend Developer (Python + Django),Україна,"We are an innovative and dynamic company leader in its field. We firmly believe that our employees are our greatest asset and invest significant resources in their growth and development. Our unique corporate culture emphasizes creativity, teamwork, and a passion for design. By joining our team, you can contribute to projects that shape the future of our business while developing your professional skills in a supportive and encouraging environment.<br><br>We are seeking a highly motivated Junior Backend Developer with expertise in Python and Django to join our dynamic team. This is a fantastic opportunity for individuals looking to further their career in a professional IT environment.<br><br><b>Key responsibilities:</b><br>• Collaborate with our experienced development team to design, develop, and maintain backend solutions using Python and Django.<br>• Assist in the implementation of scalable and efficient web products.<br>• Participate in code reviews and contribute to the continuous improvement of coding standards and best practices.<br>• Troubleshoot and debug issues to ensure optimal performance and functionality.<br>• Work closely with front-end developers and other team members to deliver high-quality, integrated solutions.<br><br><b>Requirements:</b><br>• Minimum of 1 year of relevant work experience in IT companies (experience gained through training, freelancing, or personal projects will not be considered).<br>• Strong knowledge of Python and web development frameworks, with a focus on Django.<br>• Familiarity with RESTful API development and integration.<br>• Understanding of database systems.<br>• Experience with version control systems, preferably Git.<br>• Good communication and teamwork skills.<br>• A passion for learning and staying up-to-date with industry trends and emerging technologies.<br><br><b>What we offer:</b><br>• An opportunity to work with a dynamic team of experienced professionals.<br>• Career growth and development opportunities.<br>• A collaborative and innovative work environment.<br>• Ongoing learning and skill-building initiatives.<br><br>We encourage you to apply if you meet the above requirements and are eager to take your career to the next level.<br><br>A persuasive request - before giving feedback, watch our video and start with the offer you will find after watching the video.<br>This is to protect against those who slander reviews with ChatGpt - we just won't read them if you don't start with the right words :)","['Version Control', 'Django', 'Code Review', 'Python', 'Git', 'RESTful API']",900-1300,,1,Тільки віддалено,792,165
