company,title,location,description,technologies,salary,english,years_of_experience,employment_type,views,appliances
Energise,Junior/Middle Python Developer,Україна,"Привіт 🇺🇦<br><br>Ми продуктова IT команда <b>Energise.pro</b>. Ми проектуємо, розробляємо і рекламуємо мобільні додатки у різноманітних нішах. Усі процеси інхаус. Ми не аутсорс компанія!<br><br>За останні 3 роки ми випустили в реліз понад 20 мобільних застосунків у нішах утиліт, здоров'я, розваг, фото і відео редагування… Протестували багато гіпотез; досягли багато успіхів; зробили багато помилок, усвідомили і не повторюємо їх. Наразі у нас багато досвіду і ми постійно знаходимо та реалізовуємо багато додатків та ідей. Ми постійно працюємо над оптимізацією наших додатків і запускаємо нові та займаємось їх маркетингом<br><br>Основна мета -розвинути кілька справді крутих продуктів, щоб вони стали відомими в усьому світі, тому ми перебираємо якомога більше ніш, тестуємо і релізимо багато ідей. Ми точно знаємо що досягнемо нашої мети<br><br>Ми регулярно досліджуємо ринок і шукаємо нові ніші, тож будь-який член команди має змогу запропонувати свої ідеї як щодо реалізації будь-якої функції в наявному продукті, так і ініціювати створення абсолютно нового застосунку з нуля<br><br>Наші продукти вже використовуються мільйонами людей по всьому світу<br><br>Ми маємо бажання розвиватися надалі і це найголовніше!! Наша ціль - зібрати круту команду, нарощувати досвід та робити дійсно потрібні користувачам продукти<br><br>💡 Ми шукаємо в команду <b>Python розробника</b>, який допоможе нам робити круті продукти!!! На даний момент розглядаємо на <b>part time</b> умовах з подальшим переходом на full time <br><br>Якщо ти впевнений джун, але відповідаєш всім вимогам - ми з радістю розглянемо твою кандидатуру<br><br>👩‍💻 🧑‍💻 <b>Що треба буде робити</b> :<br><br>- створення та підтримка backend під мобільні додатки<br>- розробка нових сервісів на основі Python<br>- підтримання існуючих сервісів на Python<br>- ресерч та імплементація нових бібліотек<br><br>✅ <b>Якими технічними навичками маєш вже володіти</b>:<br>- Досвід програмуванням на Python 3;<br>- Знання SQL: MySQL, PostgreSQL;<br>- Досвід використання систем контролю версій Git, CI/CD;<br>- Розуміння API (WebSocket, REST);<br>- Досвід роботи з вже існуючим кодом, навички рефакторингу та оптимізації;<br>- Досвід з DevOps-інструментами та практиками;<br>- вміння розбирати нові бібліотеки;<br>- розуміння ШІ та нейромережі.<br><br>‼️ <b>Обов`язково</b>:<br><br>- Мати інтерес до розробки мобільних продуктів!!!<br>- Мати здатність швидко вчитися;<br>- Рівень знання англійської мови — не нижче Intermediate;<br>- Вміння взаємодіяти та працювати в команді, комунікативність;<br>- Нести відповідальність за свої проекти та написаний код;<br>- Уважність до деталей;<br>- Бажання працювати та розвиватись<br><br>➕ <b>Плюсом буде</b><br><br>- досвід в комерційному проекті або є якесь портфоліо<br>- у тебе є результати у роботі якими ти пишаєшся та можеш показати<br>- ти ведеш свій репозиторій, в якому є чим похвалитись і подивитись<br><br>💪 <b>Особисті якості</b>:<br><br>- Відмінні комунікативні навички;<br>- наполегливість;<br>- мультизадачність та гнучкість до змін;<br>- відповідальність за результат;<br>- креативність;<br>- стратегічне мислення;<br>- тайм менеджемнт;<br>- вміння мислити поза рамками стандартів (think out of the box)<br><br>👫 <b>Ми будуємо справжню дружню команду та цінуємо</b>:<br><br>- <b>Комунікабельність</b><br>Регулярне спілкування з робочою групою щодо поточних проєктів у письмовому (чати, таск менеджери) та усному форматах (Зум-колли). Відкритість для спілкування. Уміння чітко і лаконічно формулювати завдання<br><br>- <b>Орієнтація на результати</b><br>Готовність привести свої завдання у відповідність до глобальних цілей команди та компанії, реалізувати необхідні зміни<br><br>- <b>Відповідальність</b><br>Увага до деталей, автономія, готовність брати на себе зобов'язання і дотримуватися угоди<br><br>- <b>Проактивність</b><br>Здатність ставити цілі та досягати їх. Створення можливостей, не чекаючи їх появи<br><br>- <b>Орієнтація на розвиток і самонавчання</b><br>інтерес до нових технологій. Постійне бажання вчитися і розвивати свої навички, набувати нового досвіду<br><br>☂️ <b>Що отримаєш і що ми пропонуємо</b><br><br>- можливість впливати на продукт та стояти біля його витоків;<br>- віддалену роботу;<br>- гнучкий графік роботи;<br>- сильна команда, учасники якої обмінюються знаннями та підтримують один одного<br><br>З більшою ймовірністю звернемо увагу на заявки з супровідним листом<br><br>Виконання тестового завдання після першого етапу відбору ОБОВʼЯЗКОВЕ. Випробувальний термін складає три місяці<br><br>У нас працювати складно, але цікаво!","['SQL', 'Python', 'Git', 'PostgreSQL', 'MySQL', 'DevOps', 'WebSocket']",,Intermediate,0,Тільки віддалено,134,56
Argument,Str.Middle/Senior Python Developer,"Україна,    Польща,    Німеччина,    Сполучені Штати","Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with.<br><br>Responsibilities:<br><br>-Developing new application features<br><br>-Design multi-user resource efficient solutions<br><br>-Building reusable components for future use<br><br>-Optimizing services for maximum performance<br><br>Technical skills:<br><br>-Strong proficiency in Python<br><br>-Strong experience in working with databases (PostgreSQL) and SQL language<br><br>-Experience in Pyramid is a plus<br><br>-Experience in implementing Reporting and Analytics is a plus<br><br>-Ability to understand business requirements and translate them into technical requirements<br><br>-Experience in speech analysis is a plus<br><br>Non-technical skills:<br><br>-Team player<br><br>-Excellent time-management skills<br><br>-Great interpersonal and communication skills","['Databases', 'SQL', 'Python', 'PostgreSQL', 'Pyramid']",<5500,,5,Тільки віддалено,98,38
Starnavi,Middle Python Developer,Україна,"<b>REQUIRED SKILLS:</b><br>- 2+ years experience with Python, Django or Flask;<br>- Knowledge of SQL and NoSQL databases;<br>- Knowledge of Docker;<br>- Understanding of the HTTP protocol and RESTful APIs;<br>- Command of Linux/UNIX environment (shell, scripting, tools);<br>- Passionate about Testing (Unit and Integration Testing);<br>- Upper Intermediate Russian or Ukrainian;<br>- Upper Intermediate + English.<br><br><b>A PLUS:</b><br>- Knowledge of one of the modern frameworks such as Angular / ReactJS / Vue;<br>- Knowledge of Kubernetes.<br><br><b>YOUR BENEFITS:</b><br>- Extensive experience and remote work possibilities;<br>- Hands-on training support;<br>- Paid vacation and sick days;<br>- Insurance compensation;<br>- Partial compensation of gym membership, English courses, books, materials for developing etc.;<br>- Unique company that is focused on the solutions development for specific business niches;<br>- Opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;<br>- Best management and team support: we are always happy to hear from colleagues about their business & technology ideas;<br>- Opportunity to implement your ideas on our internal projects;<br>- Regular salary revision.<br><br><b>RESPONSIBILITIES:</b><br>- Development of components and applications in Python / Django;<br>- Maintenance of existing applications;<br>- Tasks estimation;<br>- Writing technical documentation and reports.<br><br><b>Please note that the vacancy now has a requirement to do a test task, if not ready to perform, please do not respond.</b>","['Flask', 'Databases', 'Django', 'SQL', 'Docker', 'Python', 'RESTful API', 'Integration testing', 'Kubernetes', 'NoSQL', 'Integration Testing']",,Upper-Intermediate,2,Тільки віддалено,134,29
Delphi Software,Automation QA Middle (Python) Engineer,"Україна(Вінниця, Київ)","Perimeter 81 is expanding team for development cybersecurity and SaaS platform. All solutions allows companies manage networks and security from single cloud. You will be part of multi-national distributed team responsible for developing next-generation full stack projects integrated with AWS, Google Cloud, Microsoft Azure, Heroku, SalesForce and Splunk.<br><br>Join to our international team with offices in New York, Los Angeles, Tel-Aviv and Vinnytsia.<br><br>RESPONSIBILITIES<br><br>Create and maintain automation frameworks for R&D products<br>Design, automate and implement test cases for a variety of products, using the latest technologies on the market<br>Develop and apply integrated testing processes for new and existing products, using the latest tools and technology<br>Review requirements, specifications, and technical design documents to provide timely and meaningful feedback<br>Use different testing techniques such as UI testing, automated testing, and test-driven development strategies<br>Work hand-in-hand with manual QA to learn about the system and find ways to improve the automation flows, creating testing tools to improve our QA capabilities<br>Build load and performance testing frameworks<br>Identify key KPIs for product quality<br>Challenge our methodologies and tools and strive to continuously improve<br><br>SKILLS<br><br>3+ years’ experience with automation tools and processes with a focus on performance<br>Experience with:<br>scripting languages such as Python<br>web applications, UI and API testing<br>MongoDB<br>TDD strategy<br>Playwright (or similar) for integration tests<br>configuring firewalls, networks<br>Good understanding of network protocols (HTTP, HTTPS, TCP/UDP, Routing), tunnels and VPNs<br>Nice to have experience with:<br>performance testing tools such as JMeter, LoadRunner, or Gatling<br>performance monitoring tools<br>cloud platforms such as AWS<br>containerization technologies such as Docker and Kubernetes<br>cloud-based performance testing tools such as AirFlow<br>Upper-Intermediate level of English.<br><br>WE OFFER<br><br>Work in a creative friendly environment using cutting-edge technologies<br>Work-life balance and flexible schedule<br>Competitive compensation with focus on your expectations; annual salary review<br>24-day paid vacation and 100% paid sick leave<br>Financial support and legal support for individual entrepreneurs from our side<br>Professional, language and soft skills trainings<br>Health insurance coverage: individual and family, fitness plan","['Heroku', 'Azure', 'MongoDB', 'Performance Testing', 'Cybersecurity', 'Docker', 'Python', 'Firewalls', 'Automation', 'Automated Testing', 'Splunk', 'Containerization', 'Kubernetes', 'Monitoring']",,Upper-Intermediate,3,Office або Remote,33,8
ARENA CS,Middle/ Middle+ Back-end Python Developer,Україна,"Gradus – це продуктова компанія, а це означає:<br>- кожен учасник в команді впливає на якість та технологічність продукту, пропонує покращення, оптимізації, новий функціонал;<br>- пропонує нові технології та підходи, які сприяють покращенню продукту;<br>- з першого дня роботи наша команда дбайливо введе вас у курс справи, розповість про продукт, процеси, плани та відповість на будь-які питання;<br>- мінімум бюрократії у процесах.<br> <br> <br> <br>Твої обов'язки:<br>- сприяти динамічному розвитку продукту, а саме: розробляти та впроваджувати новий функціонал для ефективного використання нашими співробітниками;<br>- супроводжувати та покращувати  внутрішній бекофіс додатку.<br> <br>Про тебе:<br>- 3+ досвіду на python3, django, django-rest-framework;<br>- знайомство з базами PostgreSQL;<br>- плюсом буде досвід роботи з MongoDB, celery;<br>- знання REST principles, OOP, Design Patterns;<br>- володіння англійською на рівні вичитування технічної документації.<br> <br>Наш ідеальний кандидат:<br>- проактивний, ініціативний;<br>- розуміє потреби бізнесу та команди та знаходить їм рішення.<br> <br>Ми пропонуємо:<br>- конкурентну зарплату з можливістю перегляду за результатами роботи;<br>- дружня команда професіоналів своєї справи;<br>- зручний, віддаленй формат роботи;<br>- 20 днів відпустки на рік<br><br>Про нас<br>Компанія має унікальний продукт на українському ринку маркетингових та соціологічних досліджень. Це система експрес онлайн-опитувань у мобільному додатку. Наша перевага серед конкурентів – швидкість надання результатів. Отже швидкість – наш девіз у роботі.","['MongoDB', 'Celery', 'Django', 'SQL', 'Python', 'PostgreSQL']",,Upper-Intermediate,3,Тільки віддалено,70,22
EVO,Middle Python Software Engineer (Prom.ua),Україна,"<b>Prom.ua</b> – найбільший маркетплейс України, де продаються понад 100 млн товарів від десятків тисяч підприємців з усієї країни.<br><br><b>Prom.ua в цифрах:</b><br>щодня маркетплейс відвідують <b>4,8 млн осіб</b><br>на маркетплейсі працюють <b>понад 60 тис. компаній</b><br>у каталозі <b>102,5 млн товарів</b><br><br>Пропонуємо роль Python Backend розробника в команду, яка займається:<br>-Інтеграціями з логістами (зокрема зробили можливість відправки посилок продавців Prom в точки видачі Rozetka)<br>-Інтеграціями з платіжними сервісами (підтримуємо бекенд частину Пром-оплати)<br>-Всім, що стосується обробки замовлення продавцем<br>-Налаштуванням способів доставки і оплати продавцем<br>-Розробкою Public API та Private API <br>-Підтримкою функціоналу для продавців<br><br><b>Використовуємо в команді такі технології:</b><br>Мови програмування: Python 3.11<br>Сервіси: PostgreSQL, Redis, ElasticSearch<br>Інфраструктура: Self-hosted Kubernetes, Helm, Prometheus.<br><br><b>І ще трохи деталей:</b><br>-портал prom.ua працює в Kubernetes як сукупність незалежних сервісів. Налагодженні системи логування (kibana), моніторингу (prometheus/grafana), CI/CD (gitlab);<br>-більша частина сервісів написана на Python 3.11 (синхронний та асинхронний);<br>-міжсервісна комунікація налагоджена через gRPC, REST;<br>У якості бази даних використовується PostgreSQL;<br><br><b>Команда:</b><br>4 BackEnd Dev, 1 FrontEnd Dev, 3 Manual Qa, 1 Automation QA, 1 Product designer, 1 Marketing Specialist, 1 Business analyst, 1 Product Manager <br><br><b>Що важливо для даної позиції:</b><br>-знати Python, не бути заточеним під конкретний фреймворк;<br>-мати досвід web розробки, розуміти що таке мікросервісна архітектура і досвід її застосування;<br>-впевнено працювати з базами даних PostgreSQL (або аналогами): транзакції, індекси, оптимізація складних запитів — не повинні складати труднощів;<br> -мати досвід асинхронного програмування на Python, мати уявлення, що таке NoSQL бази даних і пошукові движки (ElasticSearch);<br>-досвід роботи з Docker/Kubernetes (або аналогами) з продакт інженерним підходом до вирішення завдань;<br><br>Як плюс: досвід з aiohttp досвід роботи в e-commerce відсутність страху перед Front-end’ом, node.js, React.js, але верстки не буде 🙂<br><br><b>Етапи інтерв’ю:</b><br>знайомство (до 30 хв);<br>технічне інтерв’ю (тривалість 1,5 години). Обговоримо всі важливі питання по стеку, досвіду, завданням;<br>фінальне інтерв’ю з Продактом.<br><br><b>Ми пропонуємо:</b><br>-офіційне працевлаштування у штат компанії;<br>-24 календарних дні оплачуваної відпустки на рік, необмежена кількість лікарняних;<br>-віддалена робота. Можливість відвідувати офіс у м.Київ;<br>-медичне страхування;<br>-послуги корпоративного психолога;","['SQL', 'Docker', 'Python', 'Automation', 'Git', 'PostgreSQL', 'Kubernetes', 'GitLab', 'Grafana', 'NoSQL', 'Prometheus']",,,3,Office або Remote,170,12
MB Digital,Middle Python Developer,Україна(Львів),"MB Digital is an innovative software development firm with a sharp focus on crafting sophisticated Web and App solutions, alongside providing comprehensive staff augmentation services.<br><br>Established in 2017 by an American entrepreneur, our company has been at the forefront of developing intricate web and app projects tailored to meet the exacting needs of our clientele, predominantly from the United States.<br><br>Our working conditions:<br><br>Fixed payment in $.<br>Vacation - 18 working days per year, 10 Sick Days.<br>Systematic salary review 2 times a year.<br>50% coverage of English language courses.<br>For those who live in Lviv, there is an opportunity to visit the office or you can work remotely and plan your working hours independently.<br><br>And now we have an opening for a Middle Python Developer position in our company.<br><br>What our ideal candidate is responsible for:<br><br>Development and optimization of web application backend in Python/Django.<br>Creating a REST API in Python using Django.<br>Integration with databases (PostgreSQL, MongoDB, etc.).<br>Writing Unit tests and integration tests.<br>Participation in code review and optimization of existing code.<br>Adherence to the principles of clean code and design patterns.<br>Debugging and profiling programs to optimize performance.<br>Documentation of code and APIs.<br>Collaboration with front-end developers on integration.<br>Researching and implementing new technologies and libraries.<br>Adherence to version control processes (Git).<br>Completing tasks in accordance with requirements and deadlines.<br><br>What experience and skills we expect:<br><br>At least 2.5 years of experience with Python and Django.<br>Experience with REST APIs, understanding of HTTP principles.<br>Experience in integration with relational (SQLite, PostgreSQL, etc.) and non-relational (MongoDB, Redis, etc.) databases.<br>Ability to write unit tests, understanding of TDD concept.<br>Use of the Git version control system.<br>Knowledge of object-oriented programming, data structures and algorithms.<br>Analytical thinking, debugging and code profiling skills.<br>Good level of English (reading technical documentation).<br>Ability to work in a team, take responsibility for your part of the project.<br>The desire to write clean, readable, optimized code.","['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'SQL', 'Code Review', 'SQLite', 'Python', 'Git', 'PostgreSQL', 'Lean']",,Intermediate,2,Office або Remote,108,39
Teramind,Middle Python Engineer (BI),"Албанія,    Вірменія,    Болгарія,    Грузія,    Україна","Description<br>Teramind is a hybrid, global workforce building the next-generation Insider Risk Management and User Behavior Analytics platform.<br><br>Join our team of innovators who are redefining insider risk management through cutting edge technology. More than 10,000 organizations across the globe use Teramind to mitigate insider threats and protect their sensitive company data with the most robust, enterprise-grade software on the market.<br><br>As a global team, Teramind embraces an inclusive and flexible work environment and team culture. We win together, learn from each other and respect each other while delivering best-in-class security solutions.<br><br><br>About the Role<br>Teramind is seeking a Python Engineer with a proven track record for a full-time remote position.<br>You will work on the development and improvement of our analytical and reporting services.<br>Working hours align with your location’s normal business hours.<br><br>Requirements<br>- 3+ years experience with Python<br>- Experience with: PostgreSQL (or any SQL database)<br>- Proficient knowledge of GIT<br>- Experience with algorithms, data structures, complexity analysis, and software design<br>- Understanding fundamental design principles behind scalable applications<br>- Ability to learn and implement new knowledge<br>- Technical English level: Intermediate and higher<br>- Good communication skills<br><br>Will be a plus:<br>- Experience with flask, pydantic, sqlalchemy, fastapi<br>- Experience with Data warehousing / analytics solutions (Snowflake, Redshift, Tableau, Druid, etc)<br>- Experience with ClickHouse DBMS<br><br>Responsibilities include but are not limited to:<br>- Design, develop, test, deploy, maintain and improve software with a strong focus on customer-facing features<br>- Be the technical owner of features, from design to implementation to ongoing support<br><br>Benefits<br>This is a remote job. Work from anywhere! We’re a global, distributed team looking for the finest talent. We’ve been thriving as a fully-remote team since 2014. To us, remote work means flexibility and having truly diverse, global teams.<br><br>At Teramind, we’re a collaborative, forward-thinking team where new ideas come to life, experience is valued and talent is incubated.<br><br>Competitive salary with a focus on a global market<br>Work-from-home opportunities across our global locations with a culture rooted in inclusion and teamwork<br>Flexible Time Off with Global Holiday Schedules to promote work-life balance<br>Ongoing training and development opportunities<br>About our recruitment process<br>We don’t expect a perfect fit for every requirement we’ve outlined. If you can see yourself contributing to the team, we want to hear your story.<br>You can expect up to 4 interviews:<br>Test task, 70'<br>Intro call, 30'<br>Technical interview, 60'<br>Final interview, 60'<br><br>All roles require reference and background checks<br>Teramind is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration without regard to race, age, religion, color, marital status, national origin, gender, gender identity or expression, sexual orientation, disability, or veteran status.","['Flask', 'SQLAlchemy', 'Data Warehousing', 'SQL', 'Python', 'Risk Management', 'Git', 'PostgreSQL', 'FastAPI']",3000-7500,Upper-Intermediate,3,Тільки віддалено,170,43
Edgica,Middle Java Developer на long-term проект розробки інноваційного продукту,Україна(Київ),"Ми розробляємо і підтримуємо інноваційним продукт для клієнта з Швейцарії. Хочемо залучити до участі у проекті remote full-time Java розробника із досвідом роботи від 3-х років.<br><br>Проект - web і mobile apps, сервіси у домені Smart City / Travel / IoT, більше деталей при спілкуванні. Технології backend: java, spring, postgres, mqtt, docker. Команда: 3 devs, 2 QA, UX/UI, PM <br><br>Вимоги: 3+ роки досвіду с java, Spring Framework, PostgreSQL, docker. Досвід з Stripe, MQTT, python, devOps буде плюсом. Адекватна англійська (Intermediate+). <br><br>Якщо цікаво - висилайте свій профайл, поспілкуємось.<br><br>Не проґавте свій шанс прийняти участь у цікавому проекті, який стане окрасою вашого резюме :)<br><br>Дякую,<br>Edgica Team<br>www.edgica.com","['SQL', 'Docker', 'Python', 'PostgreSQL', 'DevOps']",2500-4000,Upper-Intermediate,3,Тільки віддалено,381,143
dZENcode,Python developer / middle,Україна(Харків),"<b>Необхідні навички:</b><br>- Досвід в IT компанії на Python - від 3+ року;<br>- Знання фреймворку Django;<br>- Впевнене знання Python3;<br>- Відмінне знання мови програмування Python;<br>- Досвід вирішення завдань, пов'язаних з асинхронним програмуванням.<br><br><b>Обов'язки:</b><br>- Проектування і розробка нових та існуючих проектів;<br>- Розробка API для клієнтських додатків і сервісів;<br>- Участь в оцінюванні проєктів;<br>- Відповідальність за свою роботу.<br><br><b>Буде плюсом:</b><br>- Знання AWS;<br>- Досвід роботи з noSQL.<br>- Розмовна Англійська.<br><br><b>Ми пропонуємо:</b><br>- П'ятиденка, 8 годинний робочий день;<br>- Відпустка 2+ тижні від Вашого середньорічного результату роботи;<br>- Гнучкий графік, будь-який день можна зробити днем відпочинку (вирішили питання лікарняних і на ""свій рахунок"") або ще однією відпусткою :)<br>- Гідна заробітна плата, яка розраховується відповідно до ваших результатів відповідно до ваших знань та досвіду;<br>- Індексація заробітної плати відповідно до результатів роботи, оплачувані овертайми.","['Django', 'SQL', 'Python', 'NoSQL']",1000-1700,Pre-Intermediate,3,Тільки віддалено,82,8
