company,title,location,description,technologies,salary,english,years_of_experience,employment_type,views,appliances
AutoDS,Senior Scraping Python Developer,"Сполучені Штати,    Ізраїль","We are looking for a Senior Scraping Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.<br><br>The right candidate will be someone with an open mind who loves to solve problems and who strives to take their projects to the next level.<br><br>Responsibilities:<br>Your day-to-day will be divided between writing good Python and idiomatic code, reviewing pull requests from other team members, debugging complex problems, and also participating in decision-making processes. That is, contributing to your experience in software architecture and design.<br><br>						<br>Job Type: Remote, full-time<br>You will be working on the company's key product:<br>-Maintain existing Scrapers and create new <br>-Implement internal and external API integrations<br>-Promote the best coding practices and standards, design best-in-class solutions<br>							<br>Main hard skills requirements for candidates:<br>-Strong background with Python 4+ years.<br>-Experience with the following frameworks: Scrapy, Celery.<br>-Reverse engineering skills. Such as (any from the list):<br>--experience with local proxy for intercepting and analyzing HTTPS traffic (mitmproxy, Burp Suite, Charles).<br>--experience with Android/IOS emulators and intercepting Web traffic on it.<br>--experience with Frida - patching/analyzing Android/IOS apps.<br>--experience with bypassing bot-protection systems such as Akamai/PerimeterX/Cloudflare<br>-Strong background working with Redis, MongoDB, Elasticsearch databases.<br>-Experience with FastAPI/Flask.<br>-Experience with Playwright/Selenium will be a plus.<br>-Experience with Machine Learning with be a huge plus.<br>-Experience with Kubernetes and Docker is a plus.<br>-Experience with such python libs like Pydantic, Pillow, etc. will be a plus.<br>	<br>Main soft skills requirements for candidates:<br>-Strong desire and a proactive attitude to work.<br>-English - at least Intermediate level.<br>-Strong problem-solving abilities.<br>-Flexibility and team player.<br><br>About us						<br>AutoDS is an all-in-one dropshipping automation solution that saves dropshippers time on their everyday eCommerce tasks. We help our members automate everything from finding products to sell and monitoring their price, all the way to fulfilling orders.<br><br>We are a global company with team members all over the world. We live on collaboration tools like Slack and Zoom, but we love to chat and organize meet-ups as often as possible. ‘Community’ is one of our core values, and it is just as important as our technical values like eCommerce automation. <br><br>This is a great opportunity to work with talented teammates from across the globe.<br><br>We are proud of our online communities, like our YouTube channel, with over 25k subscribers who are hungry to learn about dropshipping. When you join us, you will play an active part in growing and nurturing these communities.<br>								<br>No matter your role at AutoDS, you will help to grow the company and your voice will be heard.","['Flask', 'Scrapy', 'Databases', 'MongoDB', 'Celery', 'Selenium', 'Machine Learning', 'Collaboration Tools', 'Docker', 'Python', 'Automation', 'Kubernetes', 'Monitoring', 'FastAPI']",,,0,Тільки віддалено,9,3
Saber Liquidation,Senior Developer,Сполучені Штати,Python Senior Developer with the following experience:<br><br>- Flask (MUST)<br>- MongoDB (Efficient requests)<br>- APIs<br>- Threading<br>- Networking experience<br><br>Our project is in payment processing and will entail building out a cloud based payment platform. The team is currently being built and would like to have a lead.,"['Flask', 'MongoDB', 'Python']",,Intermediate,3,Office або Remote,95,6
Argument,Str.Middle/Senior Python Developer,"Україна,    Польща,    Німеччина,    Сполучені Штати","Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with.<br><br>Responsibilities:<br><br>-Developing new application features<br><br>-Design multi-user resource efficient solutions<br><br>-Building reusable components for future use<br><br>-Optimizing services for maximum performance<br><br>Technical skills:<br><br>-Strong proficiency in Python<br><br>-Strong experience in working with databases (PostgreSQL) and SQL language<br><br>-Experience in Pyramid is a plus<br><br>-Experience in implementing Reporting and Analytics is a plus<br><br>-Ability to understand business requirements and translate them into technical requirements<br><br>-Experience in speech analysis is a plus<br><br>Non-technical skills:<br><br>-Team player<br><br>-Excellent time-management skills<br><br>-Great interpersonal and communication skills","['Databases', 'SQL', 'Python', 'PostgreSQL', 'Pyramid']",<5500,,5,Тільки віддалено,112,45
Encomane,Senior Django Developer,Україна,"<b>Клієнт:</b><br>Консалтингова та аудиторська компанія з питань безпеки ІТ, має досвід більше 10 років на міжнародному ринку.<br><br><b>Проєкт:</b><br>Технологічний старт ап - проєктування та розробка платформи з автоматизації процесів аудиту та оцінки ризику з нуля. Проєкт розрахований на 3-6 місяців до версії MVP з можливістю продовження.<br><br><b>Кандидат:</b><br>- 4+ роки комерційного досвіду у розробці веб-застосунків на Django<br>- досвід проєктування і розробки складних проєктів<br>- знання у роботі з REST API і реляційними базами даних<br>- досвід роботи з бібліотеками Django<br>- глибокі знання автоматизованого тестування<br>- досвід роботи з базами даних, зокрема MySQL, PostgreSQL.<br>- знання систем контролю версій (Git)<br>- добрі комунікативні навички та здатність працювати в команді.<br><br><b>Задача кандидата:</b><br>- Самостійна побудова архітектури back-end застосунку на Django<br>- Оцінка проєкт для подальшої роботи (Estimation)<br>- Робота в команді з Project-Manager, QA, Front-End Developer","['REST API', 'Django', 'SQL', 'Git', 'PostgreSQL', 'MySQL']",,,3,Тільки віддалено,71,29
Develux,Senior Python Developer_Competency Lead,Україна,"<b>What are we doing?</b><br><b>Develux</b> is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.<br><br>We are looking for a highly skilled and experienced <b>Senior Python Developer_Competency Lead</b> to join our dynamic team. <br><br><b>What do you need to do?</b><br>Write clean and well-structured code that is easy to read and maintain.<br>Use version control to manage code changes and collaborate with other developers.<br>Follow security best practices when handling sensitive data or user information.<br>Use automated testing tools to ensure code quality and reduce the risk of bugs.<br>Document your code and write clear and concise comments.<br>Use modular design principles to make your code more flexible and reusable.<br>Stay up-to-date with the latest industry trends and technologies.<br>Use design patterns and best practices to make your application more maintainable and extensible.<br><b>Technologies:</b><br>Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWS<br><br><b>Work experience:</b><br>5+ years of commercial experience with Python 3;<br>1+ years of experience with designing, implementing REST API (DRF, Fast API);<br>Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);<br>Experience working on Linux, Docker;<br>Clear understanding of high-quality code, unit testing, software design and design patterns;<br>Exceptional problem-solving, technical and data analysis skills;<br>Experience with Scrum/Agile methodology, CI/CD.<br>Qualities: Star performer, Team player, Fast, Strong ownership<br>Additional hard skills:<br>Some experience with Elasticsearch;<br>Experience with Kubernetes, Clouds(AWS/GCP)<br><br><b>Questions and Answers:</b><br>- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.<br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br>What social package and benefits are offered?<br>- English courses (up to 80 USD/month after successful completion of the probation period)<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care<br>- Corporate events<br><br><b>Hiring process:</b><br>- Screening call with recruiter and Hiring Manager +5 technical questions (45 minutes)<br>- Technical interview with CTO (1 hour)<br>- Soft skill interview with Head of Outsource<br>- Trial day (paid)<br>- Proposal for cooperation with Develux<br><br>We believe that people with different perspectives and lived experiences drive the company to create unique solutions.","['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'Code Quality', 'SQL', 'Docker', 'Python', 'Automated Testing', 'PostgreSQL', 'Unit Testing', 'Scrum', 'Kubernetes', 'Unit testing', 'NoSQL', 'Lean', 'Agile']",,Upper-Intermediate,5,Office або Remote,16,1
Develux,Senior Python Backend Engineer,Україна(Київ),"<b>How old is the project? What stage is it at?</b><br>We are in the ed-tech space helping hundreds of thousands of students deal with academic hurdles and questions. We have been around since 2014, overgrowing every year. Furthermore, we are currently working on expanding the functionality of our product, all while focusing on improving customer experience and increasing our financial metrics.<br>Our company is a B2B2C educational platform that provides academic paper writing services. Our clients can choose the type of work, set requirements and deadlines, and choose the author. In addition, online chat allows customers and authors to communicate with each other to clarify.<br>We also provide services for checking papers for plagiarism, editing and correcting text, and training and advice on improving research paper writing skills. Our team of writers consists of only the best experts, who are rigorously screened and constantly improve their skills.<br>Our platform also provides the opportunity to receive feedback from authors and ask for technical support and help in choosing the best work.<br>We constantly improve our platform and services to provide our customers with the highest convenience and quality.<br>Our support team is always available to help customers with any questions regarding our platform. We strive to ensure that our clients have only a positive experience with us and recommend us to their friends and colleagues.<br><br><b>What do you need to do?</b><br>Write clean and well-structured code that is easy to read and maintain.<br>Use version control to manage code changes and collaborate with other developers.<br>Follow security best practices when handling sensitive data or user information.<br>Use automated testing tools to ensure code quality and reduce the risk of bugs.<br>Document your code and write clear and concise comments.<br>Use modular design principles to make your code more flexible and reusable.<br>Stay up-to-date with the latest industry trends and technologies.<br>Use design patterns and best practices to make your application more maintainable and extensible.<br><br><b>Technologies:</b><br>Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWS<br><br>Work experience:<br>5+ years of commercial experience with Python 3;<br>1+ years of experience with designing, implementing REST API (DRF, Fast API);<br>Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);<br>Experience working on Linux, Docker;<br>Clear understanding of high-quality code, unit testing, software design and design patterns;<br>Exceptional problem-solving, technical and data analysis skills;<br>Experience with Scrum/Agile methodology, CI/CD.<br>Qualities: Star performer, Team player, Fast, Strong ownership<br>Additional hard skills:<br>Some experience with Elasticsearch;<br>Experience with Kubernetes, Clouds(AWS/GCP)<br>Questions and Answers:<br>- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.<br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br><b>What social package and benefits are offered?</b><br>- English courses (up to 80 USD/month after successful completion of the probation period)<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care<br>- Corporate events<br><br><b>Hiring process:</b><br>- HR-call with Recruiter<br>- Interview with the Hiring manager (1 hour)<br>- Trial day<br>- Proposal for cooperation with Develux<br><br>We believe that people with different perspectives and lived experiences drive the company to create unique solutions.","['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'Code Quality', 'SQL', 'Docker', 'Python', 'Automated Testing', 'PostgreSQL', 'Unit Testing', 'Scrum', 'Kubernetes', 'Unit testing', 'NoSQL', 'Lean', 'Agile']",,Intermediate,5,Office або Remote,36,6
Stylus,Senior Python Engineer,Україна(Київ),"<b>Stylus</b> — українська продуктова компанія, яка розробляє однойменний інтернет-магазин з широким асортиментом цифрової техніки, побутового обладнання, книг тощо. Є одним із найбільших e-commerce проєктів країни з оффлайн-магазинами, точками видачі та сервісними центрами у 16 містах. Компанія існує на ринку онлайн-продажів з 2008 року.<br><br><b>Задачі</b><br><br>— Переписуємо з нуля існуючий легасі проект на сучасний стек технологій.<br>— Інтегруємося з сервісами телефонії, системами ведення товарообігу, банківськими системами.<br>— На цій базі робимо підтримку multi-storing (мати змогу легко запускати нові магазини під іншими брендами).<br><br><br>Взаємодія з легасі кодом передбачається тільки на рівні читача. Це потрібно, щоб концептуально плюс-мінус розуміти який підхід був задіяний і які операції над даними відбуваються. Це дає багато інсайтів, щоб зробити найліпше рішення у проекті, який пишеться з нуля.<br><br><b>Стек технологій</b><br><br>— Back-end: Python, Django, FastAPI, GraphQL, PostgreSQL, Redis, Celery, pytest.<br>— Front-end: React, Typescript, Apollo, Redux.<br>— Infrastructure: Docker, Kubernetes, AWS, Terraform, ArgoCD, GitHub Actions.<br><br>На даному етапі пишемо моноліт на Django з GraphQL, щоб розблокувати бізнес, паралельно розбиваємо його на мікросервіси на FastAPI<br><br><b>Культура</b><br><br>— Немає мікроменеджменту та тайм-трекерів, довіра в команді перш за все.<br>— Кожен в команді має можливість приймати ключові продуктові на технічні рішення.<br>— Маємо стиль кодування, налаштовані лінтери та прагнемо покривати всю кодову базу тестами.<br>— Заохочуємо розробників працювати над інфраструктурою і розбиратися як працюють DevOps-процеси.<br><br><b>Вимоги</b><br><br>Обовʼязково:<br><br>— Досвід програмуванням на Python.<br>— Знання реляційних баз даних (індекси, нормалізація, Joins, raw SQL, profiling).<br>— Знання структурних, архітектурних та дизайн паттернів, best practices тощо.<br>— Високий рівень автономності, проактивність, ownership, strong verbal and writing skills.<br><br>Буде перевагою, але не обовʼязково:<br><br>— Комерційний досвід в e-commerce.<br>— Практичний досвід з GraphQL.<br>— Досвід з DevOps-інструментами та практиками.<br><br><b>Умови:</b><br><br>— 5-денний робочий тиждень з нефіксованим 8-годинним робочим днем.<br>— 24 календарні дні оплачуваної відпустки на рік та компенсація лікарняних днів.<br>— Компенсація за проходження курсів, участь у професійних конференціях тощо.<br>— Техніка для роботи за запитом, включно з Apple MacBook на M1.<br><br><b>Етапи після відгуку</b><br><br>1. Прескрін з рекрутером, щоб окреслити важливі питання для обох сторін (15 хвилин).<br>2. Технічна співбесіда з командою (1 година):<br>2.1. Питання про досвід.<br>2.2. Питання та задача по реляційних базах даних.<br>2.3. Алгоритмічна задача рівня LeetCode easy/medium.<br>3. Співбесіда з технічним директором (30 хвилин):<br>3.1. Знайомство.<br>3.2. Культурний match.","['GraphQL', 'Celery', 'Django', 'SQL', 'Docker', 'Python', 'GitHub', 'Git', 'PostgreSQL', 'Kubernetes', 'Pytest', 'FastAPI', 'DevOps']",,Upper-Intermediate,5,Office або Remote,41,4
Luxoft,Senior Python Developer,Україна,"Project Description:<br>One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.<br>Our project is stable, long-term and constantly adopts new technologies.<br><br>Work supposes close cooperation with Customer team located in Houston and following Agile principles.<br>Our team is senior, supportive and friendly.<br>Responsibilities:<br>Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.<br>Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.<br>Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.<br>Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.<br>Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.<br>Optimize and fine-tune backend systems for performance, reliability, and scalability.<br>Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.<br>Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.<br>Mandatory Skills Description:<br>Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).<br>3+ years of experience<br>Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.<br>Proficiency in Python and a solid understanding of software design principles.<br>Experience developing serverless applications using AWS Lambda functions.<br>In-depth knowledge of GraphQL and its implementation principles.<br>Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.<br>Strong understanding of RESTful API design, microservices architecture, and event-driven programming.<br>Ability to write clean, maintainable, and well-documented code.<br>Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.<br>Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.<br>Nice-to-Have Skills:Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.","['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Python', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']",,Upper-Intermediate,3,Office або Remote,42,11
Adaptiq,Senior Python (Computer Vision) Engineer/Poland or Romania,"Польща,    Румунія","We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.<br>Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.<br>We proudly serve a diverse client’s portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.<br><br>Experience:<br>5+ years with Python;<br>Experience with Computer Vision (mainly on current projects).<br><br>Nice to have:<br>AWS experience, including serverless architectures;<br>Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes);<br>Experience with SQL and NoSQ-mongodbL;<br>Django experience with celery;<br>Experience in Machine Learning/Deep Learning.<br><br>Responsibilities:<br>Serve as a technical domain expert on backend development;<br>Establish design principles with the broader development team;<br>Hands-on web development of production-ready applications at scale;<br>Design and implement efficient and well-engineered solutions;<br>Work closely with data science, product, QA and infrastructure teams.","['MongoDB', 'Celery', 'Django', 'Machine Learning', 'SQL', 'Docker', 'Python', 'Data Science', 'Serverless Architecture', 'Kubernetes', 'Serverless', 'Jenkins', 'Deep Learning']",<6500,Upper-Intermediate,5,Тільки віддалено,32,3
Spreenauten,Senior Python Developer for algorithm development Navigation App,Німеччина,"Working Hours: Part-Time (4 hours per day), possibility for full-time<br><br>Spreenauten GmbH is a mid-sized company with roots in DMR radio technology and a focus on software and hardware development. We boast a small but highly intelligent IT team and are currently seeking additional support for our projects.<br><br>Currently we are working on a challenging navigation app project. Our foundation is a partially developed algorithm written in Rust. Our goal is to transition this algorithm to Python and enrich it with additional information to efficiently solve the Traveling Salesman Issue or the Tourist Trip Planning Issue. We are seeking a talented Senior Python Developer to assist us in this project and enhance our team with their expertise.<br><br>Your Responsibilities:<br><br>± Translating the algorithm from Rust to Python<br>± Integrating additional information to enhance the navigation app<br>± Developing software architectures in the microservices style and<br>implementing them<br>± Utilizing Docker for application containerization<br>± Working in an asynchronous environment we are using aiohttp as a<br>framework<br>± Independently finding solutions and implementing elegant ones<br><br>Requirements:<br><br>± Excellent understanding of mathematics<br>± Senior-level proficiency in Python (aiohttp framework)<br>± Strong understanding of software architecture and microservices<br>± Good knowledge of Docker & Git<br>± Experience with asynchronous programming (aiohttp, asyncio, etc.)<br>± Communication skills and the ability to work in a team-oriented<br>environment<br>± Interest in R&D tasks and good documentation skills (Confluence) would be an advantage<br><br>What We Offer:<br>± The opportunity to work on a challenging and exciting project<br>± Flexible working hours (currently part-time with the possibility of full-<br>time)<br>± Potential involvement in other interesting projects<br>± Autonomy in problem-solving and room for creative solutions<br>± A friendly and collaborative team environment<br><br>If you are ready to join our mission and play a key role in developing our navigation app, please send us your apply including your resume and a cover letter outlining your experience and motivation for this position.<br><br>Please Note: The advertised position is currently part-time, but there is potential for transitioning to full-time if the collaboration is successful.<br>About Spreenauten<br>Technical expertise since 1999 in planning, implementation and maintenance<br>incl. own extensive rental park.<br><br>Spreenauten is a small, fast-growing company based Berlin with a strong focus on radio communications and hardware and software development.<br><br>With our deep, native knowledge in the field of radio technology, we are one of the smartest application developers in this field. Agile project management and the philosophy of ""minimal buyable products"" are the basis of each of our application applications. This makes us fast, budget-oriented and unerring.<br><br>Environmental protection, fair, social and solution-oriented behaviour towards business partners* and employees* are important to us. We regard these values as central elements of our corporate culture.<br><br>Behind the Curtain:<br>One of our senior application developers described us as an ""eternal startup"". Despite the fact that we were founded in 1999 as a sole proprietorship and then changed our name to Spreenauten GmbH in 2011, he is not wrong.","['Microservices', 'Docker', 'Python', 'Git', 'Containerization', 'Agile']",,Intermediate,5,Office або Remote,108,22
